,Scor,Scor,Scor,Scor,Punt,Punt
Player,XPM,XPA,FGM,FGA,Pnt,Yds
,,,,,,
Andy Lee,0,0,0,0,1290,60147
Dustin Colquitt,0,0,0,0,1124,50393
Sam Koch,0,0,0,0,1046,47451
Brett Kern,0,0,0,0,912,41928
Kevin Huber,0,0,0,0,843,38012
Britton Colquitt,0,0,0,0,780,35462
Thomas Morstead,0,0,0,0,630,29516
Johnny Hekker,1,1,1,1,608,28600
Bryan Anger,0,0,0,0,597,27588
Matthew Bosher,0,0,0,0,489,22346
Sam Martin,0,0,0,0,473,21760
Chris Jones,0,0,0,0,459,20453
Pat O'Donnell,0,0,0,0,438,19662
Ryan Allen,0,0,0,0,437,19698
Tress Way,0,0,0,0,437,20386
Bradley Pinion,0,0,0,0,391,17063
Lac Edwards,0,0,0,0,338,15368
Jordan Berry,0,0,0,0,328,14495
Riley Dixon,0,0,0,0,302,13803
Michael Palardy,0,0,0,0,243,11011
Matt Haack,0,0,0,0,239,10684
Rigoberto Sanchez,0,0,0,0,200,9012
Logan Cooke,0,0,0,0,161,7379
Michael Dickson,0,0,0,0,152,7100
JK Scott,0,0,0,0,148,6562
Colby Wadman,0,0,0,0,143,6369
Cameron Johnston,0,0,0,0,132,6229
Corey Bojorquez,0,0,0,0,124,5341
Matt Wile,0,0,0,0,90,4098
Trevor Daniel,0,0,0,0,85,3716
Jake Bailey,0,0,0,0,81,3638
A.J. Cole,0,0,0,0,67,3081
Jamie Gillan,0,0,0,0,63,2913
Mitch Wishnowsky,0,0,0,0,52,2333
Ty Long,9,9,7,9,48,2256
Kasey Redfern,0,0,0,0,10,421
Graham Gano,306,321,224,273,8,321
Ryan Winslow,0,0,0,0,6,291
Matt Prater,453,462,300,358,4,139
Matt Bryant,567,575,397,464,3,103
Zane Gonzalez,67,72,55,69,3,100
Robbie Gould,495,507,381,439,3,81
Mike Nugent,378,393,258,319,3,98
Dan Bailey,346,353,234,268,2,79
Brandon McManus,195,198,141,173,2,67
Ryan Succop,338,348,236,287,2,62
Ka'imi Fairbairn,111,121,77,92,1,26
Austin Seibert,30,35,25,29,1,37
Adam Vinatieri,763,784,516,612,1,33
Michael Badgley,46,47,28,32,0,0
Chris Boswell,170,178,127,146,0,0
Randy Bullock,191,200,147,176,0,0
Harrison Butker,138,145,96,107,0,0
Daniel Carlson,58,60,36,47,0,0
Mason Crosby,588,600,329,406,0,0
Jake Elliott,107,114,74,88,0,0
Sam Ficken,37,41,22,33,0,0
Nick Folk,354,358,259,322,0,0
Matt Gay,43,48,27,35,0,0
Stephen Gostkowski,653,664,374,428,0,0
Stephen Hauschka,355,371,264,308,0,0
Dustin Hopkins,139,146,124,146,0,0
Greg Joseph,34,38,17,20,0,0
Younghoe Koo,24,25,26,32,0,0
Josh Lambo,130,142,123,139,0,0
Wil Lutz,196,202,119,136,0,0
Brett Maher,68,69,49,66,0,0
Chase McLaughlin,26,26,18,23,0,0
Jason Myers,146,165,120,143,0,0
Cody Parkey,154,162,102,121,0,0
Eddy Pineiro,27,29,23,28,0,0
Aldrick Rosas,86,94,62,75,0,0
Jason Sanders,64,66,41,50,0,0
Cairo Santos,161,167,108,134,0,0
Ryan Santoso,0,0,0,0,0,0
Joey Slye,31,35,25,32,0,0
Justin Tucker,298,301,265,292,0,0
Kaare Vedvik,0,1,0,1,0,0
Greg Zuerlein,264,270,201,245,0,0
